Comment,Designator,Footprint,LCSC,Quantity
IRF4905,"Q1,Q13,Q14,Q15,Q16,Q2,Q3,Q4",TO-252-2,C130101,8
1M,"RN4,RN9",R_Array_Convex_4x0603,C136832,2
330K,"RN10,RN5",R_Array_Convex_4x0603,C157842,2
Thermistor_PTC,"TH1,TH2,TH3,TH4,TH5,TH6,TH7,TH8",Fuse_2920_7451Metric,C19078761,8
330R,"RN2,RN7",R_Array_Convex_4x0603,C20197,2
PZT2222A,"Q10,Q11,Q12,Q5,Q6,Q7,Q8,Q9",SOT-23,C2145,8
SS56,"D1,D2,D3,D4,D5,D6,D7,D8",D_SMA,C22452,8
Fuse,"F1,F2,F3,F4,F5,F6,F7,F8",SW_DIP_SPSTx01_Slide_9.78x4.72mm_W8.61mm_P2.54mm,C2760740,8
10K,"RN1,RN3,RN6,RN8",R_Array_Convex_4x0603,C29718,4
Screw_Terminal_01x02,J2,"PhoenixContact_GMSTBVA_2,5_2-G-7,62_1x02_P7.62mm_Vertical",C395890,1
Screw_Terminal_01x08,J5,"PhoenixContact_GMSTBVA_2,5_8-G-7,62_1x08_P7.62mm_Vertical",C395924,1
Thermistor_PTC,TH9,R_1206_3216Metric,C720075,1
Conn_02x15_Odd_Even,J4,IDC-Header_2x15_P2.54mm_Vertical,C7501248,1
